                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4599,                 5.2638,                 2.9283,                 1.6811,                0.00207,                  0.875,                 0.0126,                0.00557,                0.00114,                0.48214,                 0.0052,                0.00141,                 1.6058,                 1.7905,                 6.6895,                 1.9294,                0.00012,                0.00012,                0.00012
                      1,                 1.3609,                 4.4758,                 2.6234,                 1.6336,                0.00211,                0.89286,                0.09047,                0.04741,                0.00118,                    0.5,                 0.0392,                0.01575,                 1.4728,                 1.8645,                 5.9104,                 1.9795,             0.00023426,             0.00023426,             0.00023426
                      2,                 1.2692,                 3.7229,                 2.3257,                 1.5732,                0.00207,                  0.875,                0.11981,                0.06727,                0.00143,                0.60714,                0.06107,                0.02383,                 1.4413,                 1.6084,                 5.5179,                 1.9381,              0.0003208,              0.0003208,              0.0003208
                      3,                 1.1808,                 3.3386,                 2.1174,                 1.5275,                0.00211,                0.89286,                0.16002,                0.08728,                0.00127,                0.53571,                0.04874,                 0.0141,                 1.2704,                 1.7496,                 5.4806,                 1.7911,             0.00037962,             0.00037962,             0.00037962
                      4,                 1.2554,                 3.3377,                 2.1804,                 1.5722,                 0.0499,                    0.5,                0.19106,                 0.0864,                0.00184,                0.44643,                0.03527,                0.00673,                 1.5613,                 2.6771,                 5.9521,                 2.2435,             0.00041072,             0.00041072,             0.00041072
                      5,                  1.219,                 3.2852,                 2.0909,                 1.5264,                0.04241,                0.51786,                0.14303,                0.05697,                0.00153,                  0.375,                 0.0396,                0.01034,                 1.5407,                 2.1469,                 6.0587,                 2.0964,              0.0004141,              0.0004141,              0.0004141
                      6,                 1.2375,                 3.3221,                 2.0536,                 1.5137,                0.31785,                0.21429,                0.13596,                 0.0577,                0.12311,                0.07143,                0.04522,                0.00896,                 1.5054,                 1.9266,                 5.5735,                 2.1022,             0.00038976,             0.00038976,             0.00038976
                      7,                 1.1986,                 3.1973,                 1.9689,                   1.48,                0.24724,                0.26786,                0.17449,                0.08296,                0.13208,                  0.125,                0.07325,                0.01875,                 1.5797,                 1.8876,                 5.4368,                  2.179,              0.0003377,              0.0003377,              0.0003377
                      8,                 1.1889,                 3.2666,                 1.9312,                 1.5032,                0.21499,                  0.375,                0.15189,                0.07716,                0.14427,                   0.25,                 0.0775,                0.01982,                 1.4208,                  1.843,                 5.2259,                 2.0596,             0.00025792,             0.00025792,             0.00025792
                      9,                 1.1085,                 3.0987,                 1.9144,                 1.4308,                0.22006,                0.35714,                0.16071,                0.08443,                0.12104,                0.19643,                0.05017,                 0.0127,                 1.3701,                 1.9234,                 5.0538,                 1.9857,             0.00015042,             0.00015042,             0.00015042
